Individual_ID,status,n_cells
Donor_237,kept,6589.0
Donor_1293,kept,5784.0
Donor_1289,kept,5430.0
Donor_774,kept,3024.0
Donor_1168,kept,1848.0
Donor_743,kept,1799.0
Donor_628,kept,1368.0
Donor_1093,kept,1506.0
Donor_1184,kept,1694.0
Donor_1440,kept,8805.0
Donor_518,,
Donor_831,kept,4874.0
Donor_184,kept,2146.0
Donor_473,kept,2677.0
Donor_267,kept,2631.0
Donor_73,kept,1120.0
Donor_221,kept,1329.0
Donor_1286,kept,1148.0
Donor_351,kept,1232.0
Donor_1171,kept,2803.0
Donor_443,kept,1943.0
Donor_1253,kept,1557.0
Donor_8,kept,387.0
Donor_1163,kept,6414.0
Donor_138,kept,6107.0
Donor_1427,kept,5665.0
Donor_464,kept,5212.0
Donor_1225,kept,4889.0
Donor_786,kept,2386.0
Donor_346,kept,5259.0
Donor_819,kept,4250.0
Donor_854,kept,4044.0
Donor_1232,kept,3707.0
Donor_1016,kept,1699.0
Donor_1088,kept,4667.0
Donor_1463,kept,3724.0
Donor_299,kept,3713.0
Donor_197,kept,1994.0
Donor_1448,kept,1909.0
,removed,52.0
Donor_1209,kept,4960.0
Donor_99,kept,4364.0
Donor_547,kept,3997.0
Donor_1282,kept,3261.0
Donor_35,kept,692.0
Donor_441,kept,5375.0
Donor_780,kept,4663.0
Donor_957,kept,3873.0
Donor_64,kept,3170.0
Donor_91,kept,2624.0
Donor_142,kept,6776.0
Donor_347,kept,5414.0
Donor_1327,kept,4888.0
Donor_544,kept,2788.0
Donor_209,kept,1394.0
Donor_14,kept,6996.0
Donor_1361,,
Donor_538,kept,4157.0
Donor_183,kept,3679.0
Donor_1491,kept,2267.0
Donor_1179,kept,994.0
Donor_466,kept,6021.0
Donor_60,kept,4589.0
Donor_1376,kept,4881.0
Donor_2,kept,3420.0
Donor_376,kept,2960.0
Donor_555,kept,956.0
Donor_1161,kept,6766.0
Donor_361,kept,4542.0
Donor_1290,kept,3441.0
Donor_1221,kept,2349.0
Donor_456,kept,5190.0
Donor_323,kept,3871.0
Donor_13,kept,2997.0
Donor_416,kept,3201.0
Donor_830,kept,2252.0
Donor_1245,kept,868.0
Donor_448,kept,1585.0
Donor_401,kept,3786.0
Donor_697,kept,2999.0
Donor_1154,kept,1678.0
Donor_1478,kept,1372.0
Donor_948,kept,1343.0
Donor_178,kept,104.0
Donor_634,kept,5343.0
Donor_389,kept,3906.0
Donor_633,kept,3490.0
Donor_770,kept,2150.0
Donor_1352,kept,1367.0
Donor_740,kept,1269.0
Donor_444,kept,2010.0
Donor_1084,kept,2426.0
Donor_188,kept,1187.0
Donor_290,kept,716.0
,removed,209.0
Donor_1066,kept,2180.0
Donor_219,kept,2082.0
Donor_71,kept,1024.0
Donor_760,kept,292.0
Donor_1004,kept,286.0
,removed,12.0
Donor_527,kept,3792.0
Donor_614,kept,3275.0
Donor_705,kept,1954.0
Donor_50,,
Donor_156,kept,1033.0
Donor_1349,,
Donor_1338,kept,6261.0
Donor_1239,kept,2574.0
Donor_229,kept,2753.0
Donor_1435,kept,1361.0
Donor_115,kept,1358.0
,removed,16.0
Donor_900,kept,7502.0
Donor_1167,kept,9264.0
Donor_856,kept,8305.0
Donor_1087,kept,3535.0
Donor_1306,kept,938.0
Donor_326,kept,8651.0
Donor_423,kept,6866.0
Donor_984,kept,6395.0
Donor_876,kept,2225.0
Donor_1169,kept,2248.0
Donor_130,kept,10386.0
Donor_300,kept,5572.0
Donor_1026,kept,4696.0
Donor_658,kept,5874.0
Donor_1075,kept,3313.0
Donor_33,kept,153.0
Donor_211,kept,7484.0
Donor_263,kept,6632.0
Donor_627,kept,4976.0
Donor_577,kept,4721.0
Donor_1444,kept,1801.0
Donor_45,kept,959.0
Donor_615,kept,7632.0
Donor_1178,kept,7115.0
Donor_1398,kept,7407.0
Donor_120,kept,6334.0
Donor_839,kept,6055.0
Donor_824,kept,3975.0
Donor_1222,,
Donor_257,kept,4195.0
Donor_1475,kept,3773.0
Donor_11,kept,7033.0
Donor_1137,kept,5366.0
Donor_225,kept,4727.0
Donor_474,kept,3938.0
Donor_1085,kept,4316.0
Donor_1231,kept,2530.0
Donor_489,kept,6015.0
Donor_313,kept,5570.0
Donor_1489,kept,13112.0
Donor_265,kept,3709.0
Donor_89,kept,2263.0
Donor_1045,kept,3881.0
Donor_568,kept,3622.0
Donor_1315,kept,2651.0
Donor_1493,kept,1707.0
Donor_1155,kept,1743.0
Donor_480,,
Donor_1321,kept,3944.0
Donor_875,kept,3662.0
Donor_988,kept,3796.0
Donor_234,kept,3402.0
Donor_990,kept,1255.0
Donor_1446,kept,109.0
Donor_1262,kept,4895.0
Donor_269,kept,4433.0
Donor_960,kept,3715.0
Donor_352,kept,1200.0
Donor_967,kept,1952.0
Donor_1122,kept,2890.0
Donor_682,kept,16528.0
Donor_398,kept,8020.0
Donor_623,kept,6045.0
Donor_5,kept,2714.0
Donor_734,kept,3517.0
Donor_462,kept,6480.0
Donor_296,kept,6817.0
Donor_613,kept,2296.0
Donor_784,kept,2074.0
Donor_1201,kept,8425.0
Donor_146,kept,6321.0
Donor_421,kept,6908.0
Donor_1020,kept,3879.0
Donor_515,kept,3037.0
Donor_982,kept,3754.0
Donor_111,kept,10715.0
Donor_384,kept,5775.0
Donor_908,kept,4078.0
Donor_484,kept,3712.0
Donor_372,kept,1550.0
Donor_1165,kept,3288.0
Donor_606,kept,3100.0
Donor_1017,kept,2959.0
Donor_624,,
,removed,362.0
Donor_1339,kept,7928.0
Donor_969,kept,4965.0
Donor_1086,kept,5514.0
Donor_1220,kept,4724.0
Donor_815,kept,10409.0
Donor_180,kept,7582.0
Donor_1056,kept,4138.0
Donor_1405,kept,1872.0
Donor_1089,kept,751.0
Donor_406,kept,1190.0
Donor_999,kept,3482.0
Donor_1200,kept,4031.0
Donor_1054,kept,850.0
Donor_102,kept,1525.0
Donor_698,kept,6288.0
Donor_747,kept,5633.0
Donor_587,kept,4560.0
Donor_7,kept,3951.0
Donor_220,kept,2128.0
Donor_182,kept,1459.0
Donor_1002,kept,8931.0
Donor_1,kept,8101.0
Donor_1284,kept,5335.0
Donor_917,kept,5217.0
Donor_983,kept,4468.0
Donor_3,kept,582.0
Donor_436,kept,7344.0
Donor_87,kept,5739.0
Donor_561,kept,4589.0
Donor_1116,kept,2956.0
Donor_222,kept,4057.0
Donor_339,kept,1642.0
Donor_1242,kept,5866.0
Donor_107,kept,6850.0
Donor_163,kept,6008.0
Donor_212,kept,5400.0
Donor_1034,kept,3406.0
,removed,4.0
Donor_1412,kept,8048.0
Donor_1419,kept,7319.0
Donor_381,kept,6727.0
Donor_710,kept,5017.0
Donor_362,kept,5337.0
Donor_1030,kept,3781.0
Donor_434,kept,7645.0
Donor_353,kept,6295.0
Donor_1138,kept,5525.0
Donor_553,kept,5115.0
Donor_530,kept,3154.0
Donor_1264,kept,654.0
Donor_571,kept,9472.0
Donor_1146,kept,8018.0
Donor_1166,kept,7564.0
Donor_864,kept,4559.0
Donor_1104,kept,4254.0
Donor_429,kept,3216.0
Donor_594,kept,2707.0
Donor_832,kept,3746.0
Donor_62,kept,2902.0
Donor_952,kept,3780.0
Donor_558,kept,809.0
Donor_674,kept,2616.0
Donor_1250,kept,1583.0
Donor_640,kept,1232.0
Donor_977,kept,875.0
Donor_1027,kept,415.0
Donor_962,kept,7874.0
Donor_721,kept,7933.0
Donor_655,kept,7844.0
Donor_344,kept,7740.0
Donor_526,kept,7725.0
Donor_116,kept,2493.0
Donor_360,kept,8422.0
Donor_262,kept,8066.0
Donor_1416,kept,3729.0
Donor_1331,kept,951.0
Donor_105,kept,10349.0
Donor_1377,kept,8382.0
,removed,9055.0
Donor_959,kept,6007.0
Donor_186,kept,3207.0
Donor_1136,kept,7501.0
Donor_657,kept,7659.0
Donor_1241,kept,6792.0
Donor_1383,kept,6961.0
Donor_1153,kept,5821.0
Donor_766,kept,474.0
Donor_533,kept,7028.0
Donor_470,kept,7330.0
Donor_961,kept,6459.0
Donor_543,kept,5927.0
Donor_63,kept,5611.0
Donor_639,kept,3032.0
Donor_140,kept,4569.0
Donor_26,kept,3282.0
Donor_1429,kept,3069.0
Donor_199,kept,2368.0
Donor_1127,kept,1711.0
Donor_392,kept,8811.0
Donor_84,kept,6665.0
Donor_1076,kept,1798.0
Donor_1047,kept,8479.0
Donor_644,kept,7452.0
Donor_701,kept,4723.0
Donor_226,kept,3533.0
Donor_992,kept,1085.0
Donor_601,kept,1636.0
Donor_609,kept,7326.0
Donor_1191,kept,4403.0
Donor_1018,kept,4161.0
Donor_764,kept,2923.0
Donor_989,kept,2301.0
Donor_798,kept,1232.0
Donor_1296,kept,8576.0
Donor_1102,kept,7515.0
Donor_110,kept,3689.0
Donor_151,kept,5953.0
Donor_1453,kept,5353.0
Donor_939,kept,1783.0
Donor_1050,,
,removed,10221.0
Donor_930,kept,7322.0
Donor_117,kept,6447.0
Donor_1164,kept,5992.0
Donor_497,kept,4087.0
Donor_1028,kept,9538.0
Donor_1365,kept,7551.0
Donor_345,kept,6188.0
Donor_425,kept,5566.0
Donor_1036,kept,4018.0
Donor_427,kept,553.0
Donor_717,kept,8114.0
Donor_898,kept,6369.0
Donor_922,kept,5133.0
Donor_36,kept,3447.0
Donor_293,kept,2289.0
Donor_829,kept,928.0
Donor_1313,kept,5762.0
Donor_1393,kept,4961.0
Donor_390,kept,4960.0
Donor_261,kept,3749.0
Donor_1151,kept,2470.0
Donor_414,kept,1781.0
Donor_852,kept,8411.0
Donor_252,kept,9204.0
Donor_604,kept,7838.0
Donor_851,kept,6811.0
Donor_259,kept,3676.0
Donor_272,kept,815.0
Donor_1378,kept,9110.0
Donor_1434,kept,7272.0
Donor_1177,kept,2935.0
Donor_1283,kept,5934.0
Donor_730,kept,4496.0
Donor_884,kept,1691.0
Donor_1273,kept,5906.0
Donor_1385,kept,8367.0
Donor_98,kept,3282.0
Donor_715,,
Donor_387,kept,2780.0
Donor_846,kept,2719.0
Donor_872,kept,2574.0
Donor_330,,
,removed,9.0
Donor_1402,kept,8870.0
Donor_1477,kept,8663.0
Donor_1162,kept,7195.0
Donor_1185,kept,4613.0
Donor_790,kept,160.0
Donor_291,kept,6823.0
Donor_1342,kept,6447.0
Donor_206,kept,4412.0
Donor_749,kept,2439.0
Donor_716,kept,2462.0
Donor_1064,kept,1220.0
Donor_405,kept,5017.0
Donor_1455,kept,3932.0
Donor_895,,
Donor_1399,kept,1361.0
Donor_467,kept,1102.0
Donor_704,kept,8090.0
Donor_1347,kept,7309.0
Donor_645,kept,6262.0
Donor_75,kept,3327.0
Donor_43,kept,200.0
Donor_327,kept,5673.0
Donor_575,kept,3834.0
Donor_1488,kept,3935.0
Donor_968,kept,1564.0
Donor_118,kept,2686.0
Donor_1258,kept,7426.0
Donor_1345,kept,5805.0
Donor_661,kept,4571.0
Donor_817,kept,3115.0
Donor_1373,kept,987.0
Donor_629,kept,3587.0
Donor_1226,kept,2833.0
Donor_502,kept,1924.0
Donor_1189,kept,2259.0
Donor_22,kept,2234.0
Donor_1083,kept,1157.0
Donor_1069,kept,8957.0
Donor_458,kept,7073.0
Donor_287,kept,5595.0
Donor_1471,kept,2706.0
Donor_42,kept,1494.0
Donor_1472,kept,910.0
Donor_122,kept,3324.0
Donor_1330,kept,5412.0
Donor_472,kept,7685.0
Donor_1292,kept,2618.0
Donor_1384,kept,2164.0
Donor_849,kept,255.0
Donor_449,kept,5950.0
Donor_785,kept,5449.0
Donor_858,kept,3516.0
Donor_152,kept,3685.0
Donor_1112,kept,2655.0
Donor_77,kept,7571.0
Donor_525,kept,6770.0
Donor_308,kept,6037.0
Donor_1281,kept,4512.0
Donor_1119,kept,7735.0
Donor_335,kept,1897.0
Donor_707,kept,5944.0
Donor_500,kept,5875.0
Donor_1040,kept,3984.0
Donor_972,kept,2530.0
Donor_670,kept,5944.0
Donor_328,kept,6176.0
Donor_683,kept,3375.0
Donor_693,kept,1176.0
Donor_842,kept,4987.0
Donor_248,kept,3787.0
Donor_910,kept,2035.0
Donor_72,kept,2677.0
Donor_1350,kept,1720.0
Donor_258,kept,1272.0
Donor_207,kept,7271.0
Donor_1441,kept,6707.0
Donor_253,kept,6449.0
Donor_1043,kept,5078.0
Donor_630,kept,4458.0
Donor_322,kept,1934.0
Donor_712,kept,7886.0
Donor_921,kept,6528.0
Donor_196,kept,4837.0
Donor_1197,kept,4135.0
Donor_1044,kept,3132.0
Donor_724,kept,7792.0
Donor_255,kept,8049.0
Donor_270,kept,5006.0
Donor_1052,kept,4490.0
Donor_1480,kept,2139.0
Donor_303,kept,1061.0
Donor_622,kept,9061.0
Donor_342,kept,8617.0
Donor_1449,kept,5775.0
Donor_1029,kept,5626.0
Donor_176,kept,3596.0
Donor_788,kept,1436.0
Donor_1057,kept,7604.0
Donor_305,kept,6167.0
Donor_1228,kept,6204.0
Donor_445,kept,4686.0
Donor_1032,kept,4175.0
Donor_556,kept,4802.0
Donor_861,kept,4487.0
Donor_1468,kept,2979.0
Donor_1354,kept,3721.0
Donor_812,kept,3010.0
Donor_150,kept,1296.0
Donor_1152,kept,6781.0
Donor_1366,kept,7992.0
Donor_1149,kept,5851.0
Donor_970,kept,4626.0
Donor_1202,kept,1619.0
Donor_534,kept,416.0
Donor_149,kept,7506.0
Donor_1024,kept,7488.0
Donor_368,kept,4717.0
Donor_822,kept,1596.0
Donor_242,kept,4200.0
Donor_420,kept,1748.0
Donor_1237,kept,10128.0
Donor_1215,kept,5970.0
Donor_602,kept,5973.0
Donor_916,kept,5375.0
Donor_284,kept,4349.0
Donor_684,kept,1251.0
Donor_1474,kept,6358.0
Donor_578,kept,6923.0
Donor_141,kept,7157.0
Donor_249,kept,4507.0
Donor_1274,kept,2352.0
Donor_1422,kept,1049.0
Donor_1227,kept,3343.0
Donor_1055,kept,3366.0
Donor_837,kept,3279.0
Donor_1003,kept,1344.0
Donor_370,kept,10090.0
Donor_1479,kept,3900.0
Donor_958,kept,5123.0
Donor_866,kept,3334.0
Donor_49,kept,1441.0
Donor_34,kept,1075.0
Donor_621,kept,4338.0
Donor_496,kept,4068.0
Donor_357,kept,3717.0
Donor_61,kept,3364.0
Donor_1081,kept,8009.0
Donor_1255,kept,7327.0
Donor_247,kept,4365.0
Donor_246,kept,3422.0
Donor_1049,kept,2010.0
Donor_750,kept,359.0
Donor_1013,kept,7030.0
Donor_128,kept,6039.0
Donor_672,kept,4267.0
Donor_109,kept,4625.0
Donor_154,kept,1797.0
Donor_905,kept,1767.0
Donor_243,kept,7685.0
Donor_549,kept,7108.0
Donor_235,kept,5694.0
Donor_451,kept,4768.0
Donor_53,kept,3549.0
Donor_793,kept,2407.0
Donor_260,kept,2596.0
Donor_366,kept,2067.0
Donor_1303,kept,871.0
Donor_169,kept,766.0
Donor_1271,kept,922.0
Donor_1447,kept,4534.0
Donor_1316,,
Donor_781,kept,2054.0
Donor_282,kept,829.0
Donor_512,kept,573.0
Donor_1181,kept,579.0
Donor_779,kept,7048.0
Donor_714,kept,4797.0
Donor_438,kept,991.0
Donor_778,kept,884.0
Donor_463,kept,773.0
Donor_1010,kept,5501.0
Donor_941,kept,5029.0
Donor_1148,kept,2584.0
Donor_9,kept,1864.0
Donor_796,kept,2011.0
Donor_1485,kept,1665.0
Donor_974,kept,1497.0
Donor_1467,kept,801.0
Donor_742,kept,744.0
Donor_744,kept,425.0
Donor_891,kept,381.0
Donor_1476,kept,8557.0
Donor_539,kept,7663.0
Donor_1465,kept,5045.0
Donor_733,kept,2957.0
Donor_1329,kept,2218.0
,removed,2.0
Donor_541,kept,4845.0
Donor_1346,kept,4527.0
Donor_919,kept,3586.0
Donor_1458,kept,2666.0
Donor_198,kept,1187.0
Donor_867,kept,1441.0
Donor_1328,kept,6099.0
Donor_763,kept,6070.0
Donor_1340,kept,5816.0
Donor_1147,kept,5267.0
Donor_1079,kept,3987.0
Donor_363,kept,4239.0
Donor_166,kept,5023.0
